"Relative Time (Process)","slope: 2 - _step","slope: 2 - _step__MIN","slope: 2 - _step__MAX","slope: 2 - test/returns_stat/mean","slope: 2 - test/returns_stat/mean__MIN","slope: 2 - test/returns_stat/mean__MAX","slope: 50 - _step","slope: 50 - _step__MIN","slope: 50 - _step__MAX","slope: 50 - test/returns_stat/mean","slope: 50 - test/returns_stat/mean__MIN","slope: 50 - test/returns_stat/mean__MAX","slope: 1 - _step","slope: 1 - _step__MIN","slope: 1 - _step__MAX","slope: 1 - test/returns_stat/mean","slope: 1 - test/returns_stat/mean__MIN","slope: 1 - test/returns_stat/mean__MAX","slope: 100 - _step","slope: 100 - _step__MIN","slope: 100 - _step__MAX","slope: 100 - test/returns_stat/mean","slope: 100 - test/returns_stat/mean__MIN","slope: 100 - test/returns_stat/mean__MAX","slope: 10 - _step","slope: 10 - _step__MIN","slope: 10 - _step__MAX","slope: 10 - test/returns_stat/mean","slope: 10 - test/returns_stat/mean__MIN","slope: 10 - test/returns_stat/mean__MAX"
"176.44686","539","539","539","32.753376","32.753376","32.753376","","","","","","","","","","","","","","","","","","","","","","","",""
"176.771307","42504","42504","42504","32.18595","32.18595","32.18595","","","","","","","","","","","","","","","","","","","","","","","",""
"176.862176","42404","42404","42404","41.79608","41.79608","41.79608","","","","","","","","","","","","","","","","","","","","","","","",""
"180.845348","42032","42032","42032","30.95276","30.95276","30.95276","","","","","","","","","","","","","","","","","","","","","","","",""
"181.257349","42564","42564","42564","30.144659","30.144659","30.144659","","","","","","","","","","","","","","","","","","","","","","","",""
"199.9833710193634","11","11","11","14.074298858642578","14.074298858642578","14.074298858642578","","","","","","","","","","","","","","","","","","","","","","","",""
"226.567878","828","828","828","39.783966","39.783966","39.783966","","","","","","","","","","","","","","","","","","","","","","","",""
"230.79477","828","828","828","34.90143","34.90143","34.90143","","","","","","","","","","","","","","","","","","","","","","","",""
"230.798344","828","828","828","36.046234","36.046234","36.046234","","","","","","","","","","","","","","","","","","","","","","","",""
"232.322531","828","828","828","34.982197","34.982197","34.982197","","","","","","","","","","","","","","","","","","","","","","","",""
"235.864787","828","828","828","35.880978","35.880978","35.880978","","","","","","","","","","","","","","","","","","","","","","","",""
"235.988649","62590","62590","62590","41.12203","41.12203","41.12203","","","","","","","","","","","","","","","","","","","","","","","",""
"246.251216","63240","63240","63240","40.058617","40.058617","40.058617","","","","","","","","","","","","","","","","","","","","","","","",""
"251.361246","63183","63183","63183","36.297035","36.297035","36.297035","","","","","","","","","","","","","","","","","","","","","","","",""
"251.73899388313293","22","22","22","31.97209358215332","31.97209358215332","31.97209358215332","","","","","","","","","","","","","","","","","","","","","","","",""
"251.98876214027405","","","","","","","","","","","","","22","22","22","38.63067626953125","38.63067626953125","38.63067626953125","","","","","","","","","","","",""
"255.662307","62538","62538","62538","29.752169","29.752169","29.752169","","","","","","","","","","","","","","","","","","","","","","","",""
"255.954325","63199","63199","63199","35.058186","35.058186","35.058186","","","","","","","","","","","","","","","","","","","","","","","",""
"256.114926","828","828","828","31.511911","31.511911","31.511911","","","","","","","","","","","","","","","","","","","","","","","",""
"256.179905","62389","62389","62389","37.501835","37.501835","37.501835","","","","","","","","","","","","","","","","","","","","","","","",""
"256.791201","62613","62613","62613","34.62847","34.62847","34.62847","","","","","","","","","","","","","","","","","","","","","","","",""
"261.270419","62705","62705","62705","30.859003","30.859003","30.859003","","","","","","","","","","","","","","","","","","","","","","","",""
"261.49581","828","828","828","34.90601","34.90601","34.90601","","","","","","","","","","","","","","","","","","","","","","","",""
"261.887611","63518","63518","63518","29.109926","29.109926","29.109926","","","","","","","","","","","","","","","","","","","","","","","",""
"261.974988","63429","63429","63429","31.457308","31.457308","31.457308","","","","","","","","","","","","","","","","","","","","","","","",""
"265.18999099731445","","","","","","","","","","","","","22","22","22","36.29570007324219","36.29570007324219","36.29570007324219","","","","","","","","","","","",""
"265.6740930080414","","","","","","","","","","","","","23","23","23","38.50581359863281","38.50581359863281","38.50581359863281","","","","","","","","","","","",""
"267.0212490558624","22","22","22","33.84892272949219","33.84892272949219","33.84892272949219","","","","","","","","","","","","","","","","","","","","","","","",""
"268.1132872104645","","","","","","","23","23","23","38.08466720581055","38.08466720581055","38.08466720581055","","","","","","","","","","","","","","","","","",""
"271.293379","62399","62399","62399","35.08244","35.08244","35.08244","","","","","","","","","","","","","","","","","","","","","","","",""
"272.00282096862793","23","23","23","36.11903381347656","36.11903381347656","36.11903381347656","","","","","","","","","","","","","","","","","","","","","","","",""
"272.4392240047455","23","23","23","30.43675994873047","30.43675994873047","30.43675994873047","","","","","","","","","","","","","","","","","","","","","","","",""
"272.57111406326294","","","","","","","22","22","22","38.48824691772461","38.48824691772461","38.48824691772461","","","","","","","","","","","","","","","","","",""
"275.21352219581604","","","","","","","","","","","","","","","","","","","22","22","22","34.368953704833984","34.368953704833984","34.368953704833984","","","","","",""
"276.16741704940796","","","","","","","","","","","","","","","","","","","22","22","22","38.95085525512695","38.95085525512695","38.95085525512695","","","","","",""
"276.288941","62876","62876","62876","34.108288","34.108288","34.108288","","","","","","","","","","","","","","","","","","","","","","","",""
"278.3476438522339","42136","42136","42136","36.03373336791992","36.03373336791992","36.03373336791992","","","","","","","","","","","","","","","","","","","","","","","",""
"283.15744614601135","","","","","","","","","","","","","","","","","","","","","","","","","22","22","22","34.73567581176758","34.73567581176758","34.73567581176758"
"286.3516149520874","","","","","","","23","23","23","32.76902770996094","32.76902770996094","32.76902770996094","","","","","","","","","","","","","","","","","",""
"301.962269","1117","1117","1117","37.814594","37.814594","37.814594","","","","","","","","","","","","","","","","","","","","","","","",""
"305.845631","1117","1117","1117","38.566467","38.566467","38.566467","","","","","","","","","","","","","","","","","","","","","","","",""
"310.84244","1117","1117","1117","33.235306","33.235306","33.235306","","","","","","","","","","","","","","","","","","","","","","","",""
"312.369848","1117","1117","1117","34.368687","34.368687","34.368687","","","","","","","","","","","","","","","","","","","","","","","",""
"315.912094","1117","1117","1117","41.875957","41.875957","41.875957","","","","","","","","","","","","","","","","","","","","","","","",""
"321.014148","83424","83424","83424","34.97804","34.97804","34.97804","","","","","","","","","","","","","","","","","","","","","","","",""
