"Step","fancy-monkey-376 - test reward","fancy-monkey-376 - test reward__MIN","fancy-monkey-376 - test reward__MAX","laced-surf-225 - test reward","laced-surf-225 - test reward__MIN","laced-surf-225 - test reward__MAX","cool-thunder-238 - test reward","cool-thunder-238 - test reward__MIN","cool-thunder-238 - test reward__MAX","revived-dawn-237 - test reward","revived-dawn-237 - test reward__MIN","revived-dawn-237 - test reward__MAX","sweet-sunset-377 - test reward","sweet-sunset-377 - test reward__MIN","sweet-sunset-377 - test reward__MAX","royal-disco-223 - test reward","royal-disco-223 - test reward__MIN","royal-disco-223 - test reward__MAX","lyric-sunset-380 - test reward","lyric-sunset-380 - test reward__MIN","lyric-sunset-380 - test reward__MAX","wandering-mountain-242 - test reward","wandering-mountain-242 - test reward__MIN","wandering-mountain-242 - test reward__MAX","copper-darkness-244 - test reward","copper-darkness-244 - test reward__MIN","copper-darkness-244 - test reward__MAX"
"3797","274.6953156570684","274.6953156570684","274.6953156570684","","","","","","","","","","273.91115073805247","273.91115073805247","273.91115073805247","","","","402.3028991108609","402.3028991108609","402.3028991108609","","","","","",""
"4019","447.1068346127221","447.1068346127221","447.1068346127221","","","","","","","","","","149.12472175782946","149.12472175782946","149.12472175782946","","","","452.0405072990332","452.0405072990332","452.0405072990332","","","","","",""
"4241","147.84665179154254","147.84665179154254","147.84665179154254","","","","","","","","","","273.8476554434982","273.8476554434982","273.8476554434982","","","","277.9158985704683","277.9158985704683","277.9158985704683","","","","","",""
"4463","360.7863857153972","360.7863857153972","360.7863857153972","","","","","","","","","","363.6069380606379","363.6069380606379","363.6069380606379","","","","318.4897316985075","318.4897316985075","318.4897316985075","","","","","",""
"4685","279.84653039888616","279.84653039888616","279.84653039888616","","","","","","","","","","313.09152732456636","313.09152732456636","313.09152732456636","","","","266.1797855733424","266.1797855733424","266.1797855733424","","","","","",""
"4907","320.1034110306936","320.1034110306936","320.1034110306936","","","","","","","","","","273.74393377159987","273.74393377159987","273.74393377159987","","","","238.0139074948633","238.0139074948633","238.0139074948633","","","","","",""
"5129","277.8728424045727","277.8728424045727","277.8728424045727","","","","","","","","","","318.6054805424509","318.6054805424509","318.6054805424509","","","","323.25268073585147","323.25268073585147","323.25268073585147","","","","","",""
"5351","102.95417930971549","102.95417930971549","102.95417930971549","","","","","","","","","","445.36556120258655","445.36556120258655","445.36556120258655","","","","196.6977307173555","196.6977307173555","196.6977307173555","","","","","",""
"5573","403.9723147046982","403.9723147046982","403.9723147046982","","","","","","","","","","407.2561367637953","407.2561367637953","407.2561367637953","","","","236.603337106979","236.603337106979","236.603337106979","","","","","",""
"5795","320.4232161220809","320.4232161220809","320.4232161220809","","","","","","","","","","318.8844424918754","318.8844424918754","318.8844424918754","","","","355.4525953121723","355.4525953121723","355.4525953121723","","","","","",""
"6017","235.2657147419822","235.2657147419822","235.2657147419822","","","","","","","","","","188.52487044338284","188.52487044338284","188.52487044338284","","","","324.5742576145945","324.5742576145945","324.5742576145945","","","","","",""
"6239","151.37256806551804","151.37256806551804","151.37256806551804","","","","","","","","","","143.20921195198653","143.20921195198653","143.20921195198653","","","","363.5012194134558","363.5012194134558","363.5012194134558","","","","","",""
"6461","230.82342001714824","230.82342001714824","230.82342001714824","","","","","","","","","","531.9806164667376","531.9806164667376","531.9806164667376","","","","276.1062052485033","276.1062052485033","276.1062052485033","","","","","",""
