"Step","Algo: TD3BC_JS_Online - test reward","Algo: TD3BC_JS_Online - test reward__MIN","Algo: TD3BC_JS_Online - test reward__MAX","Algo: TD3BC - test reward","Algo: TD3BC - test reward__MIN","Algo: TD3BC - test reward__MAX","Algo: BC - test reward","Algo: BC - test reward__MIN","Algo: BC - test reward__MAX"
"26708","","","","84.11086144356959","36.12702305804421","124.61555747301345","","",""
"26709","","","","30.078426505370015","16.727900026423274","46.602983842593105","","",""
"26718","","","","","","","-150.80567308965732","-226.7585570260772","-80.46486810403519"
"28627","420.6742333721743","353.31037109300433","488.03809565134424","","","","","",""
"29114","","","","152.00269651061402","20.63658943057644","202.27233489740644","","",""
"29115","","","","60.537615897510555","49.127411802882534","77.59120749703337","","",""
"29125","","","","","","","-158.8731040027101","-220.90706666256065","-102.95407370901964"
"29939","425.5916033874164","291.18948835876864","559.9937184160642","","","","","",""
"31520","","","","118.03051107448339","69.5623688063638","163.49459067577328","","",""
"31521","","","","37.57438609909903","14.424800773157894","53.632564634783805","","",""
"31532","","","","","","","-183.7589136853759","-234.11506946089145","-106.11483194986238"
"33926","","","","176.63436013000538","135.47922342713883","209.19208486767207","","",""
"33927","","","","39.6900838434851","28.37856548940447","52.26572880783883","","",""
"33939","","","","","","","-157.29237902871972","-227.00628475746083","-111.50374072611162"
"34155","442.2358258557026","377.4273805123265","507.0442711990787","","","","","",""
"34239","351.6012526381609","349.6463679850039","353.5561372913179","","","","","",""
"36332","","","","134.66599999284094","84.7091679004152","166.23616293324284","","",""
"36334","","","","-53.67002751332459","-59.19210475973548","-47.06858092619903","","",""
"36346","","","","","","","-182.28520871366055","-283.1367354798948","-122.66432131611214"
"38371","449.8342941817232","311.0280937865834","588.6404945768629","","","","","",""
"38738","","","","92.91238508549536","35.14270583481339","166.8572826843307","","",""
"38740","","","","-55.8520267767337","-63.811677835501925","-44.09745312598126","","",""
"38753","","","","","","","-170.64009079631901","-227.80266370162389","-128.0442822746159"
"39851","358.16893016998995","262.36828632816804","453.96957401181186","","","","","",""
"41145","","","","48.44192417203112","28.81724844953659","72.37000728914636","","",""
"41146","","","","-50.47456957837301","-61.52101250736549","-39.356398945132135","","",""
"41160","","","","","","","-169.4631372160938","-222.53705122979378","-122.23923325187612"
"42591","388.8130918279238","282.91584453929045","494.71033911655724","","","","","",""
"43551","","","","41.82720276206707","11.17097396012267","79.4940722631629","","",""
"43552","","","","-62.2128314700934","-63.97808111715334","-58.92102256657803","","",""
"43567","","","","","","","-178.78179261023064","-220.70516056413703","-116.97183823500409"
"45463","380.2428348160336","245.20800769794963","515.2776619341176","","","","","",""
"45957","","","","48.40019482474571","11.619004313360719","94.33029980575726","","",""
"45958","","","","-64.21445664206135","-73.10271485392798","-56.20393811094641","","",""
"45974","","","","","","","-165.90641424070853","-231.37887754976526","-110.50957315749619"
"46807","331.6684285272116","209.05145165523814","454.28540539918504","","","","","",""
"48363","","","","68.49396937993716","25.428914583949204","161.2853260628056","","",""
"48365","","","","-160.13654314451801","-180.8460286953954","-123.50678724601364","","",""
"48381","","","","","","","-178.919701648413","-253.5329007906152","-102.2247532687786"
"50769","","","","53.81389809938546","28.463450529362905","91.30247308056354","","",""
"50771","","","","-160.31708791209633","-173.13068216323802","-136.83045255384894","","",""
"50788","","","","","","","-158.2625361097595","-191.25832347917986","-122.8997162295902"
"51023","421.58713562786295","261.65442936822177","581.5198418875041","","","","","",""
"51075","340.3580357518273","280.59281840773565","400.12325309591887","","","","","",""
"53175","","","","56.079059162828834","18.132359495848636","85.78180046905723","","",""
