Relative Time (Process),Schedule : adaptive - _step,Schedule : adaptive - _step__MIN,Schedule : adaptive - _step__MAX,Schedule : adaptive - test reward ,Schedule : adaptive - test reward __MIN,Schedule : adaptive - test reward __MAX,Schedule : fixed - _step,Schedule : fixed - _step__MIN,Schedule : fixed - _step__MAX,Schedule : fixed - test reward ,Schedule : fixed - test reward __MIN,Schedule : fixed - test reward __MAX,Schedule : interval - _step,Schedule : interval - _step__MIN,Schedule : interval - _step__MAX,Schedule : interval - test reward ,Schedule : interval - test reward __MIN,Schedule : interval - test reward __MAX,epoch
230.79477,55128.545454545456,55128.545454545456,55128.545454545456,38.76806272727273,38.76806272727273,38.76806272727273,828.0,828.0,828.0,34.90143,34.90143,34.90143,48471.42857142857,48471.42857142857,48471.42857142857,32.977218428571426,32.977218428571426,32.977218428571426,9.198813056379821
230.798344,56993.90909090909,56993.90909090909,56993.90909090909,39.35655454545455,39.35655454545455,39.35655454545455,828.0,828.0,828.0,36.046234,36.046234,36.046234,51425.142857142855,51425.142857142855,51425.142857142855,34.39349814285714,34.39349814285714,34.39349814285714,9.347181008902076
232.322531,58859.27272727273,58859.27272727273,58859.27272727273,39.945046363636365,39.945046363636365,39.945046363636365,828.0,828.0,828.0,34.982197,34.982197,34.982197,54378.857142857145,54378.857142857145,54378.857142857145,35.809777857142855,35.809777857142855,35.809777857142855,9.495548961424332
235.864787,60724.63636363637,60724.63636363637,60724.63636363637,40.53353818181819,40.53353818181819,40.53353818181819,828.0,828.0,828.0,35.880978,35.880978,35.880978,57332.57142857143,57332.57142857143,57332.57142857143,37.22605757142857,37.22605757142857,37.22605757142857,9.643916913946587
235.988649,62590.0,62590.0,62590.0,41.12203,41.12203,41.12203,828.0,828.0,828.0,35.152800166666665,35.152800166666665,35.152800166666665,60286.28571428571,60286.28571428571,60286.28571428571,38.642337285714284,38.642337285714284,38.642337285714284,9.792284866468842
246.251216,62572.666666666664,62572.666666666664,62572.666666666664,37.33207633333333,37.33207633333333,37.33207633333333,828.0,828.0,828.0,34.42462233333333,34.42462233333333,34.42462233333333,63240.0,63240.0,63240.0,40.058617,40.058617,40.058617,9.940652818991097
251.361246,62555.333333333336,62555.333333333336,62555.333333333336,33.542122666666664,33.542122666666664,33.542122666666664,828.0,828.0,828.0,33.6964445,33.6964445,33.6964445,63183.0,63183.0,63183.0,36.297035,36.297035,36.297035,10.089020771513352
255.662307,62538.0,62538.0,62538.0,29.752169,29.752169,29.752169,828.0,828.0,828.0,32.968266666666665,32.968266666666665,32.968266666666665,63191.0,63191.0,63191.0,35.6776105,35.6776105,35.6776105,10.237388724035608
255.954325,62488.333333333336,62488.333333333336,62488.333333333336,32.335391,32.335391,32.335391,828.0,828.0,828.0,32.24008883333333,32.24008883333333,32.24008883333333,63199.0,63199.0,63199.0,35.058186,35.058186,35.058186,10.385756676557863
256.114926,62438.666666666664,62438.666666666664,62438.666666666664,34.918613,34.918613,34.918613,828.0,828.0,828.0,31.511911,31.511911,31.511911,63003.666666666664,63003.666666666664,63003.666666666664,34.91494733333333,34.91494733333333,34.91494733333333,10.534124629080118
256.179905,62389.0,62389.0,62389.0,37.501835,37.501835,37.501835,828.0,828.0,828.0,32.36043575,32.36043575,32.36043575,62808.333333333336,62808.333333333336,62808.333333333336,34.77170866666667,34.77170866666667,34.77170866666667,10.682492581602373
256.791201,62547.0,62547.0,62547.0,34.180419,34.180419,34.180419,828.0,828.0,828.0,33.2089605,33.2089605,33.2089605,62613.0,62613.0,62613.0,34.62847,34.62847,34.62847,10.830860534124628
261.270419,62705.0,62705.0,62705.0,30.859003,30.859003,30.859003,828.0,828.0,828.0,34.05748525,34.05748525,34.05748525,62914.666666666664,62914.666666666664,62914.666666666664,32.788955333333334,32.788955333333334,32.788955333333334,10.979228486646884
261.49581,62946.333333333336,62946.333333333336,62946.333333333336,31.058438000000002,31.058438000000002,31.058438000000002,828.0,828.0,828.0,34.90601,34.90601,34.90601,63216.333333333336,63216.333333333336,63216.333333333336,30.949440666666668,30.949440666666668,30.949440666666668,11.127596439169139
261.887611,63187.666666666664,63187.666666666664,63187.666666666664,31.257873,31.257873,31.257873,869.2857142857143,869.2857142857143,869.2857142857143,35.321522,35.321522,35.321522,63518.0,63518.0,63518.0,29.109926,29.109926,29.109926,11.275964391691394
261.974988,63429.0,63429.0,63429.0,31.457308,31.457308,31.457308,910.5714285714286,910.5714285714286,910.5714285714286,35.737034,35.737034,35.737034,62958.5,62958.5,62958.5,32.096182999999996,32.096182999999996,32.096182999999996,11.42433234421365
271.293379,56331.333333333336,56331.333333333336,56331.333333333336,32.98278312263997,32.98278312263997,32.98278312263997,951.8571428571429,951.8571428571429,951.8571428571429,36.152546,36.152546,36.152546,62399.0,62399.0,62399.0,35.08244,35.08244,35.08244,11.572700296735905
276.288941,49233.666666666664,49233.666666666664,49233.666666666664,34.50825824527995,34.50825824527995,34.50825824527995,993.1428571428571,993.1428571428571,993.1428571428571,36.568058,36.568058,36.568058,62876.0,62876.0,62876.0,34.108288,34.108288,34.108288,11.72106824925816
278.3476438522339,42136.0,42136.0,42136.0,36.03373336791992,36.03373336791992,36.03373336791992,1034.4285714285713,1034.4285714285713,1034.4285714285713,36.98357,36.98357,36.98357,65165.11111111111,65165.11111111111,65165.11111111111,33.42807811111111,33.42807811111111,33.42807811111111,11.869436201780415
298.7065670490265,42706.0,42706.0,42706.0,44.356815338134766,44.356815338134766,44.356815338134766,1075.7142857142858,1075.7142857142858,1075.7142857142858,37.399082,37.399082,37.399082,67454.22222222222,67454.22222222222,67454.22222222222,32.74786822222222,32.74786822222222,32.74786822222222,12.01780415430267
301.962269,49492.333333333336,49492.333333333336,49492.333333333336,42.79368611511231,42.79368611511231,42.79368611511231,1117.0,1117.0,1117.0,37.814594,37.814594,37.814594,69743.33333333333,69743.33333333333,69743.33333333333,32.067658333333334,32.067658333333334,32.067658333333334,12.166172106824925
305.845631,56278.666666666664,56278.666666666664,56278.666666666664,41.230556892089844,41.230556892089844,41.230556892089844,1117.0,1117.0,1117.0,38.566467,38.566467,38.566467,72032.44444444444,72032.44444444444,72032.44444444444,31.387448444444445,31.387448444444445,31.387448444444445,12.31454005934718
310.84244,63065.0,63065.0,63065.0,39.66742766906738,39.66742766906738,39.66742766906738,1117.0,1117.0,1117.0,33.235306,33.235306,33.235306,74321.55555555556,74321.55555555556,74321.55555555556,30.707238555555556,30.707238555555556,30.707238555555556,12.462908011869436
