"Step","autumn-frost-44 - test/returns_stat/mean","autumn-frost-44 - test/returns_stat/mean__MIN","autumn-frost-44 - test/returns_stat/mean__MAX","efficient-morning-37 - test/returns_stat/mean","efficient-morning-37 - test/returns_stat/mean__MIN","efficient-morning-37 - test/returns_stat/mean__MAX","resilient-blaze-24 - test/returns_stat/mean","resilient-blaze-24 - test/returns_stat/mean__MIN","resilient-blaze-24 - test/returns_stat/mean__MAX"
"1724","54.16086959838867","54.16086959838867","54.16086959838867","","","","","",""
"1752","39.53919219970703","39.53919219970703","39.53919219970703","","","","","",""
"1781","42.80467224121094","42.80467224121094","42.80467224121094","","","","","",""
"1808","217.44345092773438","217.44345092773438","217.44345092773438","","","","","",""
"1836","204.70787048339844","204.70787048339844","204.70787048339844","","","","","",""
"1861","184.93858337402344","184.93858337402344","184.93858337402344","","","","","",""
"1890","44.39537811279297","44.39537811279297","44.39537811279297","","","","","",""
"1918","40.588687896728516","40.588687896728516","40.588687896728516","","","","","",""
"1942","290.49151611328125","290.49151611328125","290.49151611328125","","","","","",""
"1970","38.75054931640625","38.75054931640625","38.75054931640625","","","","","",""
"1997","56.46955490112305","56.46955490112305","56.46955490112305","","","","","",""
"2027","53.66826629638672","53.66826629638672","53.66826629638672","","","","","",""
"2054","35.231746673583984","35.231746673583984","35.231746673583984","","","","","",""
"2083","247.4483184814453","247.4483184814453","247.4483184814453","","","","","",""
"2112","21.449464797973633","21.449464797973633","21.449464797973633","","","","","",""
"2142","46.31123352050781","46.31123352050781","46.31123352050781","","","","","",""
"2172","34.27019119262695","34.27019119262695","34.27019119262695","","","","","",""
"2199","44.60219955444336","44.60219955444336","44.60219955444336","","","","","",""
"2228","23.532188415527344","23.532188415527344","23.532188415527344","","","","","",""
"2257","383.8858642578125","383.8858642578125","383.8858642578125","","","","","",""
"2285","42.501277923583984","42.501277923583984","42.501277923583984","","","","","",""
"2314","31.824586868286133","31.824586868286133","31.824586868286133","","","","","",""
"2343","109.52281188964844","109.52281188964844","109.52281188964844","","","","","",""
"2372","56.99604415893555","56.99604415893555","56.99604415893555","","","","","",""
"2397","83.84562683105469","83.84562683105469","83.84562683105469","","","","","",""
"2423","55.547462463378906","55.547462463378906","55.547462463378906","","","","","",""
