"Step","solar-fog-35 - test/lens_stat/mean","solar-fog-35 - test/lens_stat/mean__MIN","solar-fog-35 - test/lens_stat/mean__MAX","summer-bee-34 - test/lens_stat/mean","summer-bee-34 - test/lens_stat/mean__MIN","summer-bee-34 - test/lens_stat/mean__MAX"
"1607","518.0999755859375","518.0999755859375","518.0999755859375","","",""
"1631","319.6000061035156","319.6000061035156","319.6000061035156","","",""
"1655","634.2999877929688","634.2999877929688","634.2999877929688","","",""
"1678","424.8999938964844","424.8999938964844","424.8999938964844","","",""
"1701","523.2999877929688","523.2999877929688","523.2999877929688","","",""
"1726","503.8999938964844","503.8999938964844","503.8999938964844","","",""
"1750","153.39999389648438","153.39999389648438","153.39999389648438","","",""
"1775","491.3999938964844","491.3999938964844","491.3999938964844","","",""
"1798","822.5999755859375","822.5999755859375","822.5999755859375","","",""
"1822","331.20001220703125","331.20001220703125","331.20001220703125","","",""
"1846","469.29998779296875","469.29998779296875","469.29998779296875","","",""
"1867","611.2999877929688","611.2999877929688","611.2999877929688","","",""
"1895","109.9000015258789","109.9000015258789","109.9000015258789","","",""
"1921","126.5999984741211","126.5999984741211","126.5999984741211","","",""
"1945","428.8999938964844","428.8999938964844","428.8999938964844","","",""
"1967","356.20001220703125","356.20001220703125","356.20001220703125","","",""
"1991","506.79998779296875","506.79998779296875","506.79998779296875","","",""
"2019","220.6999969482422","220.6999969482422","220.6999969482422","","",""
"2043","412.20001220703125","412.20001220703125","412.20001220703125","","",""
"2070","526.2999877929688","526.2999877929688","526.2999877929688","","",""
"2094","213.39999389648438","213.39999389648438","213.39999389648438","","",""
"2117","446.70001220703125","446.70001220703125","446.70001220703125","","",""
"2142","725.4000244140625","725.4000244140625","725.4000244140625","","",""
"2167","151.39999389648438","151.39999389648438","151.39999389648438","","",""
"2192","122.5999984741211","122.5999984741211","122.5999984741211","","",""
"2217","92.0999984741211","92.0999984741211","92.0999984741211","","",""
"2246","85.19999694824219","85.19999694824219","85.19999694824219","","",""
"2275","65.19999694824219","65.19999694824219","65.19999694824219","","",""
"2303","262.1000061035156","262.1000061035156","262.1000061035156","","",""
"2330","129","129","129","","",""
"2358","284.79998779296875","284.79998779296875","284.79998779296875","","",""
"2385","299.6000061035156","299.6000061035156","299.6000061035156","","",""
"2411","712.9000244140625","712.9000244140625","712.9000244140625","","",""
"2436","118.5999984741211","118.5999984741211","118.5999984741211","","",""
"2464","95.5999984741211","95.5999984741211","95.5999984741211","","",""
"2492","110.5","110.5","110.5","","",""
